time,queue
1506,27
1508,0
1509,35
1511,0
1512,28
1514,0
1515,42
1517,0
1518,23
1520,0
1521,33
1523,0
1524,36
1526,0
1527,35
1529,0
1530,31
1532,0
1533,38
1535,0
1536,26
1538,0
1539,34
1541,0
1542,38
1544,0
1545,29
1547,0
1548,35
1550,0
1551,29
1553,0
1554,25
1556,0
1557,36
1559,0
1560,32
1562,0
1563,22
1565,0
1566,29
1568,0
1569,36
1571,0
1572,25
1574,0
1575,36
1577,0
1578,43
1580,0
1581,37
1583,0
1584,39
1586,0
1587,36
1589,0
1590,45
1592,0
1593,30
1595,0
1596,27
1598,0
1599,36
1601,0
1602,29
1604,0
1605,32
1607,0
1608,37
1610,0
1611,40
1613,0
1614,30
1616,0
1617,39
1619,0
1620,30
1622,0
1623,28
1625,0
1626,30
1628,0
1629,26
1631,0
1632,39
1634,0
1635,36
1637,0
1638,34
1640,0
1641,26
1643,0
1644,27
1646,0
1647,39
1649,0
1650,38
1652,0
1653,38
1655,0
1656,35
1658,0
1659,28
1661,0
1662,23
1664,0
1665,23
1667,0
1668,28
1670,0
1671,31
1673,0
1674,38
1676,0
1677,27
1679,0
1680,41
1682,0
1683,39
1685,0
1686,19
1688,0
1689,28
1691,0
1692,43
1694,0
1695,37
1697,0
1698,34
1700,0
1701,25
1703,0
1704,36
1706,0
1707,29
1709,0
1710,36
1712,0
1713,30
1715,0
1716,39
1718,0
1719,35
1721,0
1722,32
1724,0
1725,31
1727,0
1728,37
1730,0
1731,42
1733,0
1734,37
1736,0
1737,34
1739,0
1740,21
1742,0
1743,33
1745,0
1746,23
1748,0
1749,30
1751,0
1752,30
1754,0
1755,35
1757,0
1758,37
1760,0
1761,37
1763,0
1764,28
1766,0
1767,29
1769,0
1770,41
1772,0
1773,26
1775,0
1776,33
1778,0
1779,20
1781,0
1782,35
1784,0
1785,35
1787,0
1788,24
1790,0
1791,28
1793,0
1794,23
1796,0
1797,28
1799,0
1800,44
1802,0
1803,28
1805,0
1806,36
1808,0
1809,43
1811,0
1812,29
1814,0
1815,30
1817,0
1818,36
1820,0
1821,36
1823,0
1824,30
1826,0
1827,35
1829,0
1830,34
1832,0
1833,44
1835,0
1836,23
1838,0
1839,24
1841,0
1842,36
1844,0
1845,29
1847,0
1848,25
1850,0
1851,33
1853,0
1854,39
1856,0
1857,32
1859,0
1860,33
1862,0
1863,47
1865,0
1866,42
1868,0
1869,24
1871,0
1872,38
1874,0
1875,30
1877,0
1878,30
1880,0
1881,40
1883,0
1884,34
1886,0
1887,37
1889,0
1890,35
1892,0
1893,37
1895,0
1896,21
1898,0
1899,36
1901,0
1902,36
1904,0
1905,34
1907,0
1908,35
1910,0
1911,41
1913,0
1914,27
1916,0
1917,29
1919,0
1920,26
1922,0
1923,26
1925,0
1926,20
1928,0
1929,31
1931,0
1932,35
1934,0
1935,24
1937,0
1938,28
1940,0
1941,29
1943,0
1944,32
1946,0
1947,42
1949,0
1950,33
1952,0
1953,35
1955,0
1956,38
1958,0
1959,29
1961,0
1962,35
1964,0
1965,30
1967,0
1968,37
1970,0
1971,41
1973,0
1974,25
1976,0
1977,34
1979,0
1980,28
1982,0
1983,32
1985,0
1986,23
1988,0
1989,36
1991,0
1992,37
1994,0
1995,25
1997,0
1998,28
2000,0
2001,39
2003,0
2004,37
2006,0
2007,34
2009,0
2010,28
2012,0
2013,35
2015,0
2016,37
2018,0
2019,33
2021,0
2022,43
2024,0
2025,27
2027,0
2028,30
2030,0
2031,32
2033,0
2034,33
2036,0
2037,32
2039,0
2040,34
2042,0
2043,29
2045,0
2046,39
2048,0
2049,27
2051,0
2052,35
2054,0
2055,31
2057,0
2058,33
2060,0
2061,27
2063,0
2064,41
2066,0
2067,41
2069,0
2070,33
2072,0
2073,37
2075,0
2076,43
2078,0
2079,31
2081,0
2082,33
2084,0
2085,27
2087,0
2088,28
2090,0
2091,43
2093,0
2094,33
2096,0
2097,26
2099,0
2100,31
2102,0
2103,41
2105,0
2106,40
2108,0
2109,26
2111,0
2112,31
2114,0
2115,29
2117,0
2118,37
2120,0
2121,28
2123,0
2124,35
2126,0
2127,32
2129,0
2130,35
2132,0
2133,31
2135,0
2136,38
2138,0
2139,40
2141,0
2142,33
2144,0
2145,33
2147,0
2148,34
2150,0
2151,27
2153,0
2154,31
2156,0
2157,37
2159,0
2160,33
2162,0
2163,36
2165,0
2166,42
2168,0
2169,40
2171,0
2172,35
2174,0
2175,31
2177,0
2178,29
2180,0
2181,34
2183,0
2184,30
2186,0
2187,27
2189,0
2190,28
2192,0
2193,27
2195,0
2196,33
2198,0
2199,42
2201,0
2202,35
2204,0
2205,36
2207,0
2208,34
2210,0
2211,35
2213,0
2214,32
2216,0
2217,35
2219,0
2220,25
2222,0
2223,33
2225,0
2226,26
2228,0
2229,35
2231,0
2232,30
2234,0
2235,30
2237,0
2238,41
2240,0
2241,38
2243,0
2244,28
2246,0
2247,32
2249,0
2250,32
2252,0
2253,27
2255,0
2256,33
2258,0
2259,35
2261,0
2262,32
2264,0
2265,25
2267,0
2268,45
2270,0
2271,35
2273,0
2274,35
2276,0
2277,29
2279,0
2280,40
2282,0
2283,30
2285,0
2286,37
2288,0
2289,39
2291,0
2292,31
2294,0
2295,30
2297,0
2298,31
2300,0
2301,34
2303,0
2304,29
2306,0
2307,35
2309,0
2310,30
2312,0
2313,31
2315,0
2316,31
2318,0
2319,25
2321,0
2322,37
2324,0
2325,30
2327,0
2328,34
2330,0
2331,23
2333,0
2334,41
2336,0
2337,47
2339,0
2340,27
2342,0
2343,37
2345,0
2346,33
2348,0
2349,37
2351,0
2352,34
2354,0
2355,23
2357,0
2358,24
2360,0
2361,34
2363,0
2364,30
2366,0
2367,34
2369,0
2370,32
2372,0
2373,31
2375,0
2376,35
2378,0
2379,33
2381,0
2382,25
2384,0
2385,37
2387,0
2388,40
2390,0
2391,38
2393,0
